dep_code,annee,rsa_taux,prime_activite_taux,ass_aspa_taux,source_url,source_millesime
47,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
48,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
49,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
50,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
51,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
52,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
53,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
54,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
55,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
56,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
57,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
58,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
59,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
60,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
61,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
62,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
63,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
64,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
65,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
66,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
67,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
68,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
69,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
70,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
71,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
72,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
73,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
74,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
75,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
76,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
77,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
78,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
79,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
80,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
81,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
82,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
83,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
84,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
85,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
86,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
87,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
88,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
89,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
90,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
91,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
92,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
93,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
94,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
95,2021,,,,https://drees.solidarites-sante.gouv.fr/jeux-de-donnees/indicateurs-sociaux-departementaux-isd-mise-0,N/A
